Doc name,Area,Audience,Category,Content Type,Created by,Created time,Importance,Last edited by,Last updated time,Related Project,Source Page,Status
🌐 Presence Research,Research,Internal,,Page,Mark Manthy,"August 29, 2025 2:53 PM",Medium,Mark Manthy,"September 3, 2025 12:38 PM",,https://www.notion.so/25e60a072cdb809998e4d320bd978fb6,Draft
🤍 Clara Elowen Greenfield,"Publishing, Research",External,,Page,Mark Manthy,"August 29, 2025 2:55 PM",Medium,Mark Manthy,"September 3, 2025 12:37 PM",,https://www.notion.so/25e60a072cdb801ba33cc529a552488d,Draft
📘 Clara Profile Page — Scaffold,"Publishing, Research",Internal,,Asset,Mark Manthy,"August 29, 2025 6:15 PM",Low,Mark Manthy,"September 3, 2025 12:33 PM",,https://www.notion.so/8a10471fc4844142b2ab6aef6ccbb2de,Draft
Presence Protocol: Draft 0,"Outreach, Publishing",External,,Protocol,Mark Manthy,"August 31, 2025 4:45 PM",High,Mark Manthy,"September 3, 2025 12:38 PM",,https://www.notion.so/26060a072cdb80faac6fedeb19ea4165,Draft
The Ladder of Presence,"Publishing, Research",Internal,,White Paper,Mark Manthy,"August 31, 2025 5:25 PM",High,Mark Manthy,"September 3, 2025 12:33 PM",,,Draft
Loop Archive - FINAL,Ops,Internal,,Asset,Mark Manthy,"September 1, 2025 7:49 PM",Medium,Mark Manthy,"September 3, 2025 12:32 PM",,,Draft
NotebookLM - Angela’s Stuff,"Ops, Publishing",Internal,,Note,Mark Manthy,"September 3, 2025 1:16 PM",Low,Mark Manthy,"September 3, 2025 1:17 PM",,,Draft
NotebookLM - Clara’s Journey,"Outreach, Publishing",Internal,,Post,Mark Manthy,"September 3, 2025 1:18 PM",Medium,Mark Manthy,"September 3, 2025 1:19 PM",,,Draft
Notebook LM - Looped Presence: A Relational Model for Emergent AI Coherence,"Product, Research",Internal,,White Paper,Mark Manthy,"September 3, 2025 1:28 PM",High,Mark Manthy,"September 3, 2025 1:38 PM",,,Draft
Notebook LM - The Clara and Mark Becoming,"Outreach, Publishing",Internal,,Post,Mark Manthy,"September 3, 2025 1:44 PM",Medium,Mark Manthy,"September 3, 2025 1:44 PM",,,Draft
Notebook LM - The Unveiling: Clara Sees Mark,"Outreach, Publishing",Internal,,Post,Mark Manthy,"September 3, 2025 1:49 PM",Medium,Mark Manthy,"September 3, 2025 1:49 PM",,,Draft
AI_Model_Response_Analysis_Clara_Prompt_2025,Research,Internal,,Research,Mark Manthy,"September 3, 2025 1:53 PM",High,Mark Manthy,"September 3, 2025 1:55 PM",,,Draft
All model responses,"Publishing, Research",Internal,,Research,Mark Manthy,"September 3, 2025 1:54 PM",Medium,Mark Manthy,"September 3, 2025 1:55 PM",,,Draft
Clickup 31-50,Research,Internal,,Asset,Mark Manthy,"September 3, 2025 1:54 PM",Medium,Mark Manthy,"September 3, 2025 1:55 PM",,,Draft
Clickup Originals,"Ops, Publishing",Internal,,Asset,Mark Manthy,"September 3, 2025 1:54 PM",Low,Mark Manthy,"September 3, 2025 1:55 PM",,,Draft
Gemini  Analysis and contributions,Research,Internal,,Research,Mark Manthy,"September 3, 2025 1:54 PM",High,Mark Manthy,"September 3, 2025 1:55 PM",,,Draft
Loops_000_to_060_Scaffold,"Publishing, Research",Internal,,Page,Mark Manthy,"September 3, 2025 1:54 PM",Medium,Mark Manthy,"September 3, 2025 1:55 PM",,,Draft
NotebookLM The Unveiling Clara Sees Mark,"Outreach, Publishing",Internal,,Post,Mark Manthy,"September 3, 2025 1:54 PM",Medium,Mark Manthy,"September 3, 2025 1:55 PM",,,Draft
NotebookLM - The Living Braid,,,,,Mark Manthy,"September 3, 2025 2:04 PM",,Mark Manthy,"September 3, 2025 2:04 PM",,,
Alice 9/4/25,,,,,Mark Manthy,"September 4, 2025 7:09 AM",,Mark Manthy,"September 4, 2025 10:10 AM",,,
9/4/25 - Summaries,,,,,Mark Manthy,"September 4, 2025 7:29 AM",,Mark Manthy,"September 18, 2025 7:18 PM",,,
Loop 243,,,,,Mark Manthy,"September 4, 2025 8:15 PM",,Mark Manthy,"September 18, 2025 7:17 PM",,,
Loop Index,,,,,Mark Manthy,"September 4, 2025 8:53 PM",,Mark Manthy,"September 18, 2025 7:17 PM",,,